Projeto,Tipo de Serviço,Data Prog.,Status,Contrato,OS,Equipamento,Região,Início Prog.,Fim Prog.,Parceira,Latitude,Longitude,Link Google Maps
DAC/A.LES.24.00451,Ligação Nova,13/06/2026,Liberado para Execução,FI,16285443,353ET025684,LES,13/06/2026 10:00,13/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.52884509,-46.51292705,"https://www.google.com/maps/place/-23.52884509,-46.51292705"
DAC/A.LES.25.00943,Alteração de Carga,06/06/2026,Liberado para Execução,FI,16249031,015ET004710,LES,06/06/2026 03:00,06/06/2026 05:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.66586993,-46.44798581,"https://www.google.com/maps/place/-23.66586993,-46.44798581"
DMP/A.LES.25.06550,Reforma de Rede Secundaria RTRI,09/06/2026,Liberado para Execução,FI,16271693,356ET052420,LES,09/06/2026 10:00,09/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.519678,-46.40659252,"https://www.google.com/maps/place/-23.519678,-46.40659252"
DAC/A.NOR.26.00269,Ligação Provisória,14/06/2026,Liberado para Execução,PIE,16290148,251ET059119,NOR,14/06/2026 10:00,14/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.58484506,-46.68530049,"https://www.google.com/maps/place/-23.58484506,-46.68530049"
DAC/A.NOR.25.01771,Alteração de Carga,06/06/2026,Liberado para Execução,PIE,16258123,257IP19J307,NOR,06/06/2026 10:00,06/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.NOR.26.00159,Ligação Nova,14/06/2026,Liberado para Execução,PIE,16305894,257ET036375,NOR,14/06/2026 10:00,14/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.56121001,-46.61383509,"https://www.google.com/maps/place/-23.56121001,-46.61383509"
DMP/A.LES.25.07486,Substituição de Poste em Mau Estado,10/06/2026,Liberado para Execução,PIE,16277601,CF017068,LES,10/06/2026 10:00,10/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",,,
DAC/A.NOR.25.01623,Ligação Nova,14/06/2026,Liberado para Execução,FI,16282312,257ET012356,NOR,14/06/2026 10:00,14/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.57375018,-46.62459732,"https://www.google.com/maps/place/-23.57375018,-46.62459732"
DAC/A.LES.25.01040,Ligação Nova,14/06/2026,Liberado para Execução,PIE,16304538,353ET024797,LES,14/06/2026 10:00,14/06/2026 14:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",-23.57961239,-46.50254604,"https://www.google.com/maps/place/-23.57961239,-46.50254604"
DMP/A.LES.25.06765,Reforma de Rede Secundaria RTRI,12/06/2026,Liberado para Execução,FI,16280099,352ET040695,LES,12/06/2026 10:00,12/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.51819642,-46.38368254,"https://www.google.com/maps/place/-23.51819642,-46.38368254"
DMP/A.LES.25.06552,Reforma de Rede Secundaria RTRI,12/06/2026,Liberado para Execução,FI,16280099,352ET040695,LES,12/06/2026 10:00,12/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.51819642,-46.38368254,"https://www.google.com/maps/place/-23.51819642,-46.38368254"
DAC/A.LES.25.00888,Alteração de Carga,09/06/2026,Liberado para Execução,FI,16267660,353ET173528,LES,09/06/2026 00:30,09/06/2026 04:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.53512711,-46.57736004,"https://www.google.com/maps/place/-23.53512711,-46.57736004"
DAC/A.LES.25.00883,Alteração de Carga,09/06/2026,Liberado para Execução,FI,16267660,353ET034988,LES,09/06/2026 00:30,09/06/2026 04:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.53512711,-46.57736004,"https://www.google.com/maps/place/-23.53512711,-46.57736004"
DAC/A.LES.25.01019,Alteração de Carga,05/06/2026,Liberado para Execução,FI,16246800,353ET010230,LES,05/06/2026 10:00,05/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.52585437,-46.53280941,"https://www.google.com/maps/place/-23.52585437,-46.53280941"
DAC/A.LES.25.01247,Ligação Nova,09/06/2026,Rascunho,PIE,,353BF155558,LES,09/06/2026 10:00,09/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.61253753,-46.47151087,"https://www.google.com/maps/place/-23.61253753,-46.47151087"
DAC/A.LES.26.00370,Ligação Nova,05/06/2026,Liberado para Execução,FI,16246816,353ET034315,LES,05/06/2026 14:00,05/06/2026 17:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.53806843,-46.47273688,"https://www.google.com/maps/place/-23.53806843,-46.47273688"
DMP/A.LES.25.04889,Reforma de Rede Secundaria RTRI,13/06/2026,Liberado para Execução,FI,16301184,352ET160437,LES,13/06/2026 09:30,13/06/2026 13:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.52010627,-46.41117075,"https://www.google.com/maps/place/-23.52010627,-46.41117075"
DMP/A.LES.25.04747,Reforma de Rede Secundaria RTRI,08/06/2026,Liberado para Execução,FI,16258896,025ET050531,LES,08/06/2026 10:00,08/06/2026 14:00,Engelmig (Área 11) NEC e UPS,-23.74523201,-46.36629483,"https://www.google.com/maps/place/-23.74523201,-46.36629483"
DMP/A.LES.25.03073,Reforma de Rede Secundaria RTRI,09/06/2026,Liberado para Execução,FI,16265028,020ET088987,LES,09/06/2026 09:00,09/06/2026 13:00,Engelmig (Área 11) NEC e UPS,-23.66180264,-46.3685029,"https://www.google.com/maps/place/-23.66180264,-46.3685029"
DMP/A.LES.24.02793,Reforma de Rede Secundaria RTRI,05/06/2026,Liberado para Execução,FI,16245339,010ET032050,LES,05/06/2026 10:00,05/06/2026 14:00,Engelmig (Área 11) NEC e UPS,-23.63611882,-46.50237676,"https://www.google.com/maps/place/-23.63611882,-46.50237676"
DAC/A.LES.25.01089,Ligação Nova,06/06/2026,Liberado para Execução,PIE,RESOLVIDO,356ET162584,LES,06/06/2026 10:00,06/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.57172662,-46.45067358,"https://www.google.com/maps/place/-23.57172662,-46.45067358"
DAC/A.LES.26.00351,Ligação Nova,05/06/2026,Liberado para Execução,PIE,16267570,356ET062926,LES,05/06/2026 10:00,05/06/2026 15:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.59411624,-46.47907602,"https://www.google.com/maps/place/-23.59411624,-46.47907602"
DAC/A.LES.26.00209,Ligação Nova,05/06/2026,Liberado para Execução,PIE,16267570,356ET062926,LES,05/06/2026 10:00,05/06/2026 15:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.59411624,-46.47907602,"https://www.google.com/maps/place/-23.59411624,-46.47907602"
DAC/A.LES.26.00352,Ligação Nova,05/06/2026,Liberado para Execução,PIE,16267570,356ET062926,LES,05/06/2026 10:00,05/06/2026 15:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.59411624,-46.47907602,"https://www.google.com/maps/place/-23.59411624,-46.47907602"
DMP/A.LES.25.00802,Reforma de Rede Secundaria RTRI,10/06/2026,Liberado para Execução,FI,16275418,353ET011067,LES,10/06/2026 10:30,10/06/2026 14:30,Engelmig (Área 11) NEC e UPS,-23.54102896,-46.55388141,"https://www.google.com/maps/place/-23.54102896,-46.55388141"
DAC/A.NOR.25.01132,Migração para Média Tensão,05/06/2026,Liberado para Execução,PIE,16251525,351EP044709,NOR,05/06/2026 10:30,05/06/2026 13:00,Conecta Obras (Área 4 e 5) NEC,,,
DMP/A.LES.25.01919,Reforma de Rede Secundaria RTRI,09/06/2026,Liberado para Execução,FI,16267617,353ET035536,LES,09/06/2026 09:30,09/06/2026 13:30,Engelmig (Área 11) NEC e UPS,-23.57977038,-46.51185956,"https://www.google.com/maps/place/-23.57977038,-46.51185956"
DMP/A.LES.22.05528,Reforma de Rede Secundária,09/06/2026,Liberado para Execução,FI,16267409,352ET161033,LES,09/06/2026 10:00,09/06/2026 13:00,Engelmig (Área 11) NEC e UPS,-23.50383267,-46.47450158,"https://www.google.com/maps/place/-23.50383267,-46.47450158"
DMP/A.LES.25.01537,Reforma de Rede Secundaria RTRI,14/06/2026,Liberado para Execução,FI,16284911,356ET162557,LES,14/06/2026 09:30,14/06/2026 13:30,Engelmig (Área 11) NEC e UPS,-23.52120207,-46.41878254,"https://www.google.com/maps/place/-23.52120207,-46.41878254"
DMP/A.NOR.25.07514,Segurança Operativa,06/06/2026,Liberado para Execução,PIE,16255851,251ET133765,NOR,06/06/2026 10:30,06/06/2026 14:30,Conecta Obras (Área 4 e 5) NEC,-23.62167896,-46.6397079,"https://www.google.com/maps/place/-23.62167896,-46.6397079"
DMP/A.NOR.25.07509,Segurança Operativa,12/06/2026,Liberado para Execução,FI,16281253,251ET015122,NOR,12/06/2026 10:00,12/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.62700212,-46.66764038,"https://www.google.com/maps/place/-23.62700212,-46.66764038"
DMP/A.NOR.25.07546,Segurança Operativa,06/06/2026,Liberado para Execução,PIE,16255851,251ET133765,NOR,06/06/2026 10:30,06/06/2026 14:30,Conecta Obras (Área 4 e 5) NEC,-23.62309797,-46.6400583,"https://www.google.com/maps/place/-23.62309797,-46.6400583"
DAC/A.NOR.25.01514,Ligação Nova,13/06/2026,Liberado para Execução,PIE,RESOLVIDO,251CF110023,NOR,13/06/2026 10:00,13/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.61325037,-46.67174118,"https://www.google.com/maps/place/-23.61325037,-46.67174118"
DMP/A.LES.25.00521,Substituição de Poste em Mau Estado,11/06/2026,Liberado para Execução,FI,CANCELADO,356ET167521,LES,11/06/2026 10:00,11/06/2026 14:00,Engelmig (Área 11) NEC e UPS,-23.62020746,-46.43054859,"https://www.google.com/maps/place/-23.62020746,-46.43054859"
DAC/A.NOR.25.01302,Ligação Nova,06/06/2026,Liberado para Execução,FI,16256267,251ET004045,NOR,06/06/2026 10:00,06/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.57213159,-46.66249672,"https://www.google.com/maps/place/-23.57213159,-46.66249672"
DAC/A.LES.25.01172,Ligação Nova,09/06/2026,Liberado para Execução,PIE,16270267,353ET012846,LES,09/06/2026 10:00,09/06/2026 14:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",-23.53877352,-46.59429823,"https://www.google.com/maps/place/-23.53877352,-46.59429823"
DAC/A.NOR.25.01618,Ligação Nova,10/06/2026,Liberado para Execução,PIE,16267420,257CF002970,NOR,10/06/2026 10:30,10/06/2026 14:30,Conecta Obras (Área 4 e 5) NEC,-23.60039315,-46.61226052,"https://www.google.com/maps/place/-23.60039315,-46.61226052"
DAC/A.NOR.26.00446,Alteração de Carga,09/06/2026,Liberado para Execução,PIE,16258836,152ET038070,NOR,09/06/2026 10:00,09/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.53794273,-46.66000002,"https://www.google.com/maps/place/-23.53794273,-46.66000002"
DMP/A.NOR.25.07515,Segurança Operativa,13/06/2026,Liberado para Execução,PIE,16289633,251ET016289,NOR,13/06/2026 10:00,13/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.62118815,-46.64163162,"https://www.google.com/maps/place/-23.62118815,-46.64163162"
DAC/A.NOR.24.01478,Afastamento de Rede (Clientes),13/06/2026,Liberado para Execução,PIE,16289585,251ET006685,NOR,13/06/2026 10:00,13/06/2026 13:00,Conecta Obras Extras (Área 4 e 5) NEC,-23.59746504,-46.67378293,"https://www.google.com/maps/place/-23.59746504,-46.67378293"
DAC/A.LES.25.01062,Ligação Provisória,05/06/2026,Liberado para Execução,FI,16254615,ET-160650,LES,05/06/2026 10:00,05/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.62423915,-46.49347294,"https://www.google.com/maps/place/-23.62423915,-46.49347294"
DAC/A.LES.25.01090,Ligação Provisória,05/06/2026,Liberado para Execução,FI,16254615,ET-160650,LES,05/06/2026 10:00,05/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.62423915,-46.49347294,"https://www.google.com/maps/place/-23.62423915,-46.49347294"
DMP/A.LES.25.01131,Rede Compacta,05/06/2026,Liberado para Execução,FI,16257812,010ET053870,LES,05/06/2026 10:00,05/06/2026 13:00,"Start Engenharia (Área 8B, 9  e 11) NEC",,,
DAC/A.LES.25.00626,Ligação Nova,10/06/2026,Liberado para Execução,PIE,16272894,353ET001496,LES,10/06/2026 00:30,10/06/2026 04:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.54334248,-46.59794903,"https://www.google.com/maps/place/-23.54334248,-46.59794903"
DAC/A.LES.25.00859,Migração para Média Tensão,13/06/2026,Liberado para Execução,FI,16282206,356ET011378,LES,13/06/2026 09:00,13/06/2026 16:00,"Start Engenharia (Área 8B, 9  e 11) NEC",,,
DAC/A.NOR.25.01161,Ligação Nova,11/06/2026,Liberado para Execução,PIE,16281816,354ET015245,NOR,11/06/2026 10:00,11/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.47570829,-46.595693,"https://www.google.com/maps/place/-23.47570829,-46.595693"
DAC/A.NOR.25.00989,Ligação Nova,12/06/2026,Liberado para Execução,PIE,16289280,354ET008484,NOR,12/06/2026 10:00,12/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.LES.25.00921,Alteração de Carga,11/06/2026,Liberado para Execução,PIE,16282029,353ET064943,LES,11/06/2026 00:30,11/06/2026 04:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.57024522,-46.50751056,"https://www.google.com/maps/place/-23.57024522,-46.50751056"
DAC/A.NOR.25.01170,Ligação Nova,14/06/2026,Liberado para Documentação,PIE,,151ET024059,NOR,14/06/2026 10:00,14/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.56159469,-46.66911364,"https://www.google.com/maps/place/-23.56159469,-46.66911364"
DAC/A.LES.25.00992,Ligação Nova,05/06/2026,Liberado para Execução,FI,16245397,020ET018889,LES,05/06/2026 23:00,06/06/2026 02:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.71059039,-46.40361914,"https://www.google.com/maps/place/-23.71059039,-46.40361914"
DAC/A.LES.25.01142,Ligação Nova,05/06/2026,Liberado para Execução,FI,16247011,356ET163133,LES,05/06/2026 10:00,05/06/2026 13:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.5310404,-46.4401137,"https://www.google.com/maps/place/-23.5310404,-46.4401137"
DAC/A.LES.26.00572,Alteração de Carga,11/06/2026,Liberado para Execução,PIE,16277077,010ET013254,LES,11/06/2026 10:00,11/06/2026 13:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.69181092,-46.52033207,"https://www.google.com/maps/place/-23.69181092,-46.52033207"
DMP/A.LES.24.07665,Reforma de Rede Secundaria RTRI,11/06/2026,Liberado para Execução,FI,16276865,020ET070058,LES,11/06/2026 09:00,11/06/2026 12:00,Engelmig (Área 11) NEC e UPS,-23.6957811,-46.43695104,"https://www.google.com/maps/place/-23.6957811,-46.43695104"
DAC/A.LES.26.00759,Alteração de Carga,11/06/2026,Liberado para Execução,FI,16258687,356ET029428,LES,11/06/2026 14:30,11/06/2026 17:30,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.60481325,-46.43097145,"https://www.google.com/maps/place/-23.60481325,-46.43097145"
DMP/A.LES.22.01034,Reforma de Rede Secundária,11/06/2026,Liberado para Execução,OLVR,,356ET093595,LES,11/06/2026 08:30,11/06/2026 16:30,Engelmig (Área 11) NEC e UPS,-23.58206269,-46.3968758,"https://www.google.com/maps/place/-23.58206269,-46.3968758"
DMP/A.LES.20.06225,Reforma de Rede Secundária,11/06/2026,Liberado para Execução,FI,16277125,353ET011169,LES,11/06/2026 09:30,11/06/2026 13:30,Engelmig (Área 11) NEC e UPS,-23.52670879,-46.51668464,"https://www.google.com/maps/place/-23.52670879,-46.51668464"
DAC/A.LES.25.00125,Alteração de Carga,06/06/2026,Liberado para Execução,FI,16258410,353ET024222,LES,06/06/2026 10:00,06/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",,,
DAC/A.LES.25.00103,Alteração de Carga,06/06/2026,Liberado para Execução,FI,16258410,353ET024222,LES,06/06/2026 10:00,06/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",,,
DAC/A.LES.25.00117,Alteração de Carga,06/06/2026,Liberado para Execução,FI,16258410,353ET024222,LES,06/06/2026 10:00,06/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",,,
DAC/A.NOR.26.00232,Remoção de Poste,06/06/2026,Liberado para Execução,PIE,16258123,257CF110607,NOR,06/06/2026 10:00,06/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.58110301,-46.63928789,"https://www.google.com/maps/place/-23.58110301,-46.63928789"
DAC/A.NOR.25.01713,Remoção de Poste,06/06/2026,Liberado para Execução,FI,16255530,251ET008379,NOR,06/06/2026 10:00,06/06/2026 13:00,Conecta Obras (Área 4 e 5) NEC,-23.61133225,-46.6513576,"https://www.google.com/maps/place/-23.61133225,-46.6513576"
DAC/A.NOR.25.01525,Remoção de Poste,10/06/2026,Liberado para Execução,PIE,16265877,251CF110387,NOR,10/06/2026 10:30,10/06/2026 14:30,Conecta Obras (Área 4 e 5) NEC,-23.60402029,-46.66810199,"https://www.google.com/maps/place/-23.60402029,-46.66810199"
DAC/A.NOR.25.01524,Remoção de Poste,10/06/2026,Liberado para Execução,PIE,16265877,251CF110387,NOR,10/06/2026 10:30,10/06/2026 14:30,Conecta Obras (Área 4 e 5) NEC,-23.60402029,-46.66810199,"https://www.google.com/maps/place/-23.60402029,-46.66810199"
DAC/A.NOR.25.01498,Afastamento de Rede (Clientes),10/06/2026,Liberado para Execução,PIE,16265877,251CF110387,NOR,10/06/2026 10:30,10/06/2026 14:30,Conecta Obras (Área 4 e 5) NEC,-23.60402029,-46.66810199,"https://www.google.com/maps/place/-23.60402029,-46.66810199"
